quercus.sp	agrilus.sp	interaction	min.dist.mean	min.dist.mean.norm	min.dist.mean.log	min.dist.median	min.dist.median.norm	min.dist.median.log
Q. bicolor	A. ussuricola	0	0.711734811635314	0.000101308156400844	0.142240864011197	0.320911855208829	2.05966716481815e-05	0.0937384490972846
Q. coccifera	A. acutipennis	0	6719.89954415013	1	0.945073989610008	6295.77141986447	1	0.949980000827037
Q. coccifera	A. albocomus	0	9938.09415211071	1	0.998633180090627	9499.83614324781	1	0.998940629369237
Q. coccifera	A. angelicus	0	9823.36503374316	1	0.997043856451505	9402.97327535744	1	0.997720931177795
Q. coccifera	A. angustulus	1	15.6454780487532	0.0477771606883219	0.116113387806011	5.63365244042117	0.00632750445934034	0.116738893091977
Q. coccifera	A. arcuatus	0	154.225143256124	0.991409333557554	0.428533954998628	28.5099142490435	0.150037494882815	0.308039489976998
Q. coccifera	A. asiaticus	0	685.98942751093	1	0.632745552932457	541.249015730014	1	0.657972943601665
Q. coccifera	A. atricornis	0	1560.80912334755	1	0.745259753975158	1297.47310018913	1	0.762012006203758
Q. coccifera	A. auroguttatus	0	9473.76165968757	1	0.992083839062323	9005.60944069785	1	0.992582235045512
Q. coccifera	A. biguttatus	0	6.64122900018131	0.0087823920274082	0	2.04997422720357	0.000840125763009579	0
Q. coccifera	A. bilineatus	0	154.225143256124	0.991409333557554	0.428533954998628	28.5099142490435	0.150037494882815	0.308039489976998
Q. coccifera	A. chiricahuae	0	10037.8324048455	1	1	9584.77584683085	1	1
Q. coccifera	A. coxalis	0	9151.92004592208	1	0.987353134816735	8696.19758364953	1	0.988421396318789
Q. coccifera	A. crinicornis	0	39.1215633117486	0.263686531906904	0.241036455439565	15.6970364167925	0.0480848634599279	0.237354341951133
Q. coccifera	A. cyaneoniger	0	8419.42226172412	1	0.975934730864847	8831.08345413188	1	0.990253194960897
Q. coccifera	A. defectus	0	6597.61231114677	1	0.942560246329155	6162.8516786032	1	0.947440483665591
Q. coccifera	A. geminatus	0	1538.17250559524	1	0.74326021697931	1297.28010809397	1	0.761994303801849
Q. coccifera	A. graminis	0	8.17312416103821	0.0132711431333052	0.0280280867293142	2.96341609927524	0.00175482548559508	0.0421392927389243
Q. coccifera	A. grandiceps	1	12.9765844040177	0.0331175462391828	0.0906914086690715	3.7573546671279	0.00281956037097825	0.0695658148085568
Q. coccifera	A. hastulifer	1	10.5595122860014	0.022053838392462	0.0627179957749089	6.58330597346847	0.00863052484749669	0.134978735716068
Q. coccifera	A. hemiphanes	1	14.9189156716532	0.0435385642138263	0.109646988474376	4.03693876330763	0.00325406891962744	0.0778936427035557
Q. coccifera	A. laticornis	0	19.0927101405061	0.0703120772652235	0.143211724673091	8.62661036129266	0.0147734667578357	0.166726988934011
Q. coccifera	A. niveoguttatus	0	7040.75350877182	1	0.951458064691083	7490.97076927209	1	0.970666457420284
Q. coccifera	A. obscuricollis	0	20.8566376851231	0.0833227825456778	0.155246531389523	10.2938050562081	0.0209695017712154	0.187534276738334
Q. coccifera	A. obsoletoguttatus	0	33.6468070656975	0.202618085710713	0.22045840234212	13.1381154574847	0.0339329290502083	0.216322214821961
Q. coccifera	A. osburni	0	1573.39289341577	1	0.74635879934723	1297.56071276533	1	0.762020041690075
Q. coccifera	A. parkeri	0	9824.14765002826	1	0.997054760658688	9373.89119410008	1	0.997352275998776
Q. coccifera	A. quercicola	0	154.225143256124	0.991409333557554	0.428533954998628	28.5099142490435	0.150037494882815	0.308039489976998
Q. coccifera	A. relegatoides	0	2250.44105755092	1	0.795342978022573	2611.12587925505	1	0.845240247886156
Q. coccifera	A. relegatus	1	12.9440569463439	0.0329544904752642	0.0903505112437708	3.7521502372605	0.00281176584139411	0.0694051321741303
Q. coccifera	A. samai	0	2603.70161856579	1	0.815299752192617	2961.93080721147	1	0.860242393951446
Q. coccifera	A. sulcicollis	0	40.6499657736623	0.281424100848618	0.246268993866983	16.7160699047587	0.0543524978030239	0.244794118514204
Q. coccifera	A. ussuricola	0	685.98942751093	1	0.632745552932457	541.249015730014	1	0.657972943601665
Q. alba	A. acutipennis	0	93.1426791509186	0.823619508844529	0.458078969087455	38.3772960418894	0.255143256947325	0.461520496950419
Q. alba	A. albocomus	0	2108.97131335286	1	0.788034173849673	2244.45703025695	1	0.826594357360657
Q. alba	A. angelicus	0	2767.95948290815	1	0.816799885579207	2883.40533189746	1	0.849084781503615
Q. alba	A. angustulus	0	6.66644144147292	0.00884890423608904	0.180552619775178	0.668377162387587	8.93416150405437e-05	0.110152157889875
Q. alba	A. arcuatus	1	1.29235008433635	0.000333977965035703	0.0132915704503275	0.136810271329601	3.74340306173342e-06	0.00447602922310459
Q. alba	A. asiaticus	0	89.0163928755477	0.795007859604893	0.453290420195794	26.5299968486624	0.131309302721013	0.428477773802469
Q. alba	A. atricornis	0	12.1723115365475	0.0291982802251726	0.243540209885545	4.97918030652685	0.0049461744982103	0.27971790763452
